entity_type,agency_id,agency,entity_id,public_name,submitter,reviewer,deputy_mayor,ca_office
Agency,AGC7900,Board of Municipal and Zoning Appeals,,Board of Municipal and Zoning Appeals,Justin Williams,Darren Lu,"Calvin Young - Deputy Mayor, Community & Economic Development",Shamiah Kerney
Quasi Agency,AGC4356,Art & Culture (BMA /  Symphony / Zoo / Create Baltimore),17,Walters Art Gallery,Kate Burgin,Ross Hackett,"Calvin Young - Deputy Mayor, Community & Economic Development",Shamiah Kerney
Quasi Agency,AGC4356,Art & Culture (BMA /  Symphony / Zoo / Create Baltimore),18,Maryland Zoo,Kirby Fowler,Nelson Gomes,"Calvin Young - Deputy Mayor, Community & Economic Development",Shamiah Kerney
Agency,AGC3100,Housing and Community Development,,Housing and Community Development,Timothy Keane,Griffin Riddler,"Calvin Young - Deputy Mayor, Community & Economic Development",Shamiah Kerney
Quasi Agency,AGC3100,Housing and Community Development,23,Baltimore Development Corporation,Otis Rolley,Griffin Riddler,"Calvin Young - Deputy Mayor, Community & Economic Development",Shamiah Kerney
Quasi Agency,AGC3100,Housing and Community Development,15,Live Baltimore,Meghan McCorkell,Griffin Riddler,"Calvin Young - Deputy Mayor, Community & Economic Development",Shamiah Kerney
Quasi Agency,AGC3100,Housing and Community Development,29,Waterfront Partnership,Dan Taylor,Griffin Riddler,"Calvin Young - Deputy Mayor, Community & Economic Development",Shamiah Kerney
Agency,AGC1311,Courts - Circuit Court,,Courts - Circuit Court,Lionel Moore,Melanie Lada,"Samuel Johnson - Asst. Deputy Mayor, Public Safety (Acting)",Shamiah Kerney
Agency,AGC4500,Office of Employment Development,,Office of Employment Development,MacKenzie Garvin,Ross Hackett,"Calvin Young - Deputy Mayor, Community & Economic Development",Shamiah Kerney
Quasi Agency,AGC4356,Art & Culture (BMA /  Symphony / Zoo / Create Baltimore),19,Baltimore Symphony Orchestra,Mark C. Hanson,Ross Hackett,"Calvin Young - Deputy Mayor, Community & Economic Development",Shamiah Kerney
Quasi Agency,AGC4361,Convention Complex (BDC / Convention Center),9,Baltimore Convention Center,Matt Campbell,Griffin Riddler,"Calvin Young - Deputy Mayor, Community & Economic Development",Shamiah Kerney
Agency,AGC6100,Public Works,,Public Works,Matthew Garbark,Ross Hackett,"Khalil Zaied - Deputy Mayor, Operations",Shamiah Kerney
Agency,AGC4366,M-R Cable and Communications,,M-R Cable and Communications,Maya Gilmore,Nelson Gomes,Chief of Staff - John David Merrill,Shamiah Kerney
Agency,AGC1000,City Council,,City Council,Michael Castagnola,Melanie Lada,Independent - Legislative Branch,Shamiah Kerney
Agency,AGC2300,Finance,,Finance,Michael Moiseyev,Melanie Lada,City Administrator - Faith Leach,John Merrill
Agency,AGC2700,Health,,Health,Michelle Taylor,Ethan Buckborough,"Dr. Letitia Dzirasa - Deputy Mayor, Health & Human Services",Shamiah Kerney
Agency,AGC1100,City Council Services,,City Council Services,Nancy Mead,Melanie Lada,Independent - Legislative Branch,Shamiah Kerney
Mayoral Service,AGC4301,Mayor's Office,28,Mayor's Office of Government Relations,Nina Themelis,Melanie Lada,Chief of Staff - John David Merrill,Shamiah Kerney
Mayoral Service,AGC4301,Mayor's Office,5,Mayor's Office of Older Adult Affairs and Advocacy,Ondoria Harmon,Ross Hackett,"Dr. Letitia Dzirasa - Deputy Mayor, Health & Human Services",Shamiah Kerney
Quasi Agency,AGC7000,Transportation,24,Parking Authority,Peter Little,Nelson Gomes,"Khalil Zaied - Deputy Mayor, Operations",Shamiah Kerney
Agency,AGC5700,Planning,,Planning,Renata Southard,Griffin Riddler,"Calvin Young - Deputy Mayor, Community & Economic Development",Shamiah Kerney
Agency,AGC5900,Police,,Police,Richard Worley,Darren Lu,"Samuel Johnson - Asst. Deputy Mayor, Public Safety (Acting)",Shamiah Kerney
Mayoral Service,AGC4301,Mayor's Office,7,"Mayor's Office of Art, Culture, and Entertainment",Robyn Murphy,Griffin Riddler,"Calvin Young - Deputy Mayor, Community & Economic Development",Shamiah Kerney
Quasi Agency,AGC4356,Art & Culture (BMA /  Symphony / Zoo / Create Baltimore),20,Create Baltimore,Robyn Murphy,Ross Hackett,"Calvin Young - Deputy Mayor, Community & Economic Development",Shamiah Kerney
Agency,AGC6500,Sheriff's Office,,Sheriff's Office,Sam Cogen,Melanie Lada,"Samuel Johnson - Asst. Deputy Mayor, Public Safety (Acting)",Shamiah Kerney
Mayoral Service,AGC4301,Mayor's Office,6,Baltimore City Mayor's Office of Overdose Response,Sara Whaley,Ethan Buckborough,"Dr. Letitia Dzirasa - Deputy Mayor, Health & Human Services",Shamiah Kerney
Agency,AGC4346,Office of Neighborhood Safety and Engagement,,Office of Neighborhood Safety and Engagement,Stefanie Mavronis,Darren Lu,"Samuel Johnson - Asst. Deputy Mayor, Public Safety (Acting)",Shamiah Kerney
Mayoral Service,AGC4301,Mayor's Office,8,Innovation Team,Terrance Smith,Melanie Lada,Shamiah Kerney - Deputy City Administrator,Faith Leach
Agency,AGC4303,Baltimore City Information Technology (BCIT),,Baltimore City Information Technology (BCIT),Timothy Mayotte,Ethan Buckborough,Shamiah Kerney - Deputy City Administrator,Faith Leach
Agency,AGC7000,Transportation,,Transportation,Veronica McBeth,Nelson Gomes,"Khalil Zaied - Deputy Mayor, Operations",Shamiah Kerney
Quasi Agency,AGC4316,Health & Welfare Grants (Family League & Legal Aid ),21,Legal Aid,Vicki Schultz,Nelson Gomes,"Dr. Letitia Dzirasa - Deputy Mayor, Health & Human Services",Shamiah Kerney
Agency,AGC4371,M-R Baltimore City Public Schools,,M-R Baltimore City Public Schools,Dr. Jermaine Dawson,Ross Hackett,Chief of Staff - John David Merrill,Shamiah Kerney
Mayoral Service,AGC4301,Mayor's Office,4,Mayor's Office of Infrastructure Development,,,Mayor's Office - Multiple portfolios,Shamiah Kerney
